Neighborhood,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Gr_Liv_Area,Total_Bsmt_SF,Garage_Cars,Full_Bath,Bedroom_AbvGr,Fireplaces,Lot_Area,House_Age,Years_Since_Remod,Bldg_Type,Sale_Type,Sale_Price
Gilbert,1990,2007,9,7,3793,2022,2,2,3,2,6864,20,3,1Fam,WD,493008
Gilbert,1917,2009,10,8,2878,1060,3,1,3,0,12972,93,1,1Fam,WD,395839
Timber,1920,1928,5,3,3164,2546,2,1,3,1,5474,90,82,1Fam,WD,437339
Gilbert,1991,2005,5,6,903,459,1,2,3,1,20388,19,5,1Fam,WD,288280
Somerst,1998,2007,2,2,3055,1117,2,2,3,1,20030,12,3,1Fam,WD,432279
Gilbert,1985,1994,3,9,2439,952,4,1,1,0,8804,25,16,1Fam,WD,326366
NoRidge,2003,2007,10,2,1650,549,3,1,3,1,2710,7,3,1Fam,WD,506422
Gilbert,1922,2001,9,3,3836,1298,3,1,3,0,24063,88,9,2fmCon,WD,436233
IDOTRR,1963,1998,7,2,2235,1320,2,2,5,0,10321,47,12,1Fam,WD,242551
NridgHt,1966,1985,1,9,4335,2539,3,1,4,1,12409,44,25,1Fam,WD,679999
IDOTRR,1939,1975,3,1,1538,1002,3,1,3,2,22766,71,35,1Fam,COD,169024
ClearCr,1909,1994,2,5,2773,1242,2,2,3,1,8324,101,16,1Fam,COD,334641
NAmes,1988,1994,1,1,3531,2565,2,2,2,0,7698,22,16,1Fam,WD,308211
Mitchel,1951,1973,9,5,3412,1318,4,2,3,1,2607,59,37,1Fam,WD,411812
Crawfor,1971,2010,8,8,3676,2432,2,2,4,0,12769,39,0,Twnhs,WD,490007
NWAmes,1974,2002,5,8,1244,342,1,1,2,0,6486,36,8,TwnhsE,COD,220635
NAmes,1960,1975,2,8,3040,2460,1,3,3,1,4934,50,35,1Fam,WD,306972
ClearCr,1963,2000,1,2,818,654,2,2,5,0,9523,47,10,1Fam,COD,215811
Somerst,1904,1931,7,8,1742,1329,2,3,4,2,12746,106,79,1Fam,COD,354495
Gilbert,2008,2009,2,5,3848,2126,1,3,4,0,20699,2,1,1Fam,WD,430689
Mitchel,1952,1982,1,1,1272,763,2,2,4,0,8561,58,28,1Fam,WD,180052
NWAmes,1954,1967,2,7,2416,1537,3,1,4,1,19919,56,43,1Fam,WD,304584
Mitchel,1936,2008,7,6,3912,3291,2,2,2,1,8307,74,2,Duplex,WD,417420
ClearCr,1955,1981,7,5,2999,2640,2,1,3,1,8473,55,29,TwnhsE,WD,441557
Mitchel,1958,1981,10,1,3940,2245,2,3,3,0,1669,52,29,1Fam,WD,413003
NoRidge,2008,2008,6,1,1443,1066,0,2,3,1,14449,2,2,1Fam,WD,439891
CollgCr,2001,2010,5,6,3395,1333,2,3,4,0,16045,9,0,1Fam,WD,426312
NridgHt,1992,2010,3,7,3564,1650,2,2,3,0,14699,18,0,1Fam,WD,621271
Somerst,1968,2010,3,1,2514,943,3,2,2,1,15976,42,0,TwnhsE,New,399107
Somerst,1972,1999,9,9,4045,1688,2,2,3,0,10323,38,11,1Fam,WD,548360
Somerst,1958,1985,4,4,1713,878,0,2,3,2,10496,52,25,1Fam,WD,326605
Gilbert,1901,1972,9,5,3431,2690,2,2,4,1,22899,109,38,2fmCon,WD,447384
Somerst,1964,1986,4,2,918,645,2,2,3,2,16472,46,24,1Fam,WD,254435
ClearCr,2003,2007,2,8,4281,2685,3,3,3,0,24781,7,3,1Fam,New,558629
Timber,1959,1963,4,2,1364,909,3,2,3,2,15535,51,47,1Fam,WD,345747
Somerst,1950,1991,6,3,1288,881,1,2,3,0,4534,60,19,1Fam,WD,305791
Timber,1929,1935,6,9,2371,1023,1,2,4,0,14828,81,75,1Fam,WD,398452
NridgHt,1910,1951,5,2,994,468,1,2,3,0,12779,100,59,1Fam,WD,304915
Crawfor,1991,1994,1,6,1562,881,3,2,4,1,22364,19,16,1Fam,WD,285040
Gilbert,2007,2007,3,4,2709,2211,0,2,5,0,21296,3,3,1Fam,WD,370640
Crawfor,1975,2001,5,7,2525,1610,1,2,5,1,6488,35,9,1Fam,WD,351468
CollgCr,1938,1995,6,6,2668,2127,2,1,3,0,8630,72,15,Twnhs,WD,363032
Somerst,1989,2002,1,9,4463,1930,2,2,4,0,16604,21,8,1Fam,WD,520236
NAmes,1976,1977,9,9,2946,1464,1,3,3,1,5369,34,33,1Fam,WD,368993
CollgCr,1971,1995,3,4,3833,2964,2,1,4,0,23983,39,15,TwnhsE,WD,433445
CollgCr,1962,1970,10,1,2485,1345,2,2,4,1,2291,48,40,Twnhs,WD,398367
NridgHt,1963,1989,3,2,1227,1054,2,2,4,1,13833,47,21,Duplex,WD,403053
Somerst,1960,1960,2,8,4395,2103,4,2,4,2,12243,50,50,1Fam,WD,526872
Somerst,1953,1975,8,8,1060,824,1,2,3,0,5341,57,35,1Fam,COD,321273
Somerst,1991,2000,3,2,3151,2596,2,2,2,2,4856,19,10,1Fam,COD,452959
Crawfor,1993,2002,6,4,1652,1104,3,2,3,1,9022,17,8,Duplex,WD,328928
CollgCr,1972,1996,2,1,4404,2483,3,1,4,2,6425,38,14,1Fam,WD,454447
Crawfor,2002,2007,7,7,1039,660,2,3,3,0,12264,8,3,1Fam,WD,309426
NWAmes,1994,1996,4,4,2903,1265,2,2,3,1,22958,16,14,1Fam,ConLD,360932
Mitchel,1957,1962,9,8,1159,782,1,2,3,1,13596,53,48,1Fam,WD,280338
NWAmes,1984,2009,10,9,2979,1335,2,2,3,0,8200,26,1,1Fam,ConLD,419679
IDOTRR,1955,1960,9,9,2363,1695,4,1,4,1,3594,55,50,Duplex,WD,277001
NridgHt,2010,2010,7,3,3636,2679,2,3,3,1,14315,0,0,1Fam,WD,737414
StoneBr,1933,1985,8,5,3789,1599,2,2,4,1,17753,77,25,1Fam,WD,652924
NridgHt,1930,1995,3,6,3110,2198,1,1,3,0,7750,80,15,TwnhsE,WD,518636
Gilbert,1951,2008,5,6,1950,1163,2,3,4,1,16862,59,2,1Fam,WD,331610
NAmes,1988,2005,2,8,1316,841,2,2,3,0,10307,22,5,1Fam,New,243258
Timber,1975,1997,10,6,2444,906,2,2,2,1,14753,35,13,1Fam,WD,492826
BrkSide,1900,1901,7,6,3645,2132,0,2,4,0,23136,110,109,1Fam,WD,303472
NridgHt,1954,1965,8,4,4031,2941,2,1,3,0,13685,56,45,1Fam,WD,689583
BrkSide,1921,1942,9,7,3996,2887,2,2,3,0,8503,89,68,1Fam,WD,350736
Somerst,1939,1975,7,8,3258,1692,2,1,3,1,17642,71,35,TwnhsE,WD,493815
NoRidge,2000,2003,10,3,1715,1108,2,2,3,2,22180,10,7,TwnhsE,WD,552073
CollgCr,2010,2010,10,7,3760,2919,2,2,3,0,3801,0,0,1Fam,WD,517305
Timber,1900,2002,8,3,511,45,2,3,2,0,11922,110,8,1Fam,WD,272274
Veenker,1964,1987,9,8,2786,1800,2,2,3,0,6769,46,23,1Fam,WD,506552
Veenker,1962,2009,6,1,2395,1085,3,1,3,1,11264,48,1,1Fam,COD,411693
Mitchel,2005,2008,10,1,4164,3296,2,3,3,1,12720,5,2,1Fam,WD,469554
CollgCr,1953,1953,2,6,3000,2153,3,2,3,0,18388,57,57,1Fam,WD,382758
Veenker,1941,2005,2,9,2930,2176,2,2,5,1,16248,69,5,1Fam,WD,441226
Crawfor,1920,2000,4,4,3329,1907,2,1,3,0,19829,90,10,1Fam,WD,362719
NWAmes,1978,1978,9,6,4373,1883,1,2,4,0,19745,32,32,1Fam,WD,470744
Veenker,1980,2000,7,5,547,397,2,3,3,0,21606,30,10,2fmCon,WD,347609
ClearCr,1921,1923,2,1,2864,1509,4,2,3,1,21567,89,87,2fmCon,WD,346392
NoRidge,1937,1982,8,6,2756,1857,2,3,2,2,18287,73,28,1Fam,New,650534
StoneBr,1998,2004,7,9,2070,869,2,2,2,1,22215,12,6,1Fam,WD,539375
Gilbert,2008,2010,9,3,3690,2666,1,2,3,0,11311,2,0,TwnhsE,WD,483093
StoneBr,1979,2002,8,3,1076,937,3,2,3,1,4406,31,8,1Fam,WD,456309
CollgCr,1907,1992,3,2,2862,1964,2,1,4,0,13308,103,18,1Fam,WD,328906
NWAmes,1961,2004,1,4,1253,477,2,2,3,1,22612,49,6,1Fam,WD,220211
NoRidge,1946,1990,2,3,1559,1479,2,2,4,1,3069,64,20,1Fam,WD,369369
Crawfor,1916,1941,2,2,4034,2908,2,2,5,2,13408,94,69,1Fam,WD,407153
Timber,1916,1992,4,1,4335,3147,2,1,2,0,1639,94,18,1Fam,WD,524302
IDOTRR,1989,1989,6,3,3462,1688,2,1,3,1,6183,21,21,1Fam,WD,285839
CollgCr,1912,1935,4,6,3302,1897,3,2,3,1,8230,98,75,1Fam,WD,387743
Mitchel,1916,1989,9,9,1053,410,3,1,3,0,12656,94,21,1Fam,WD,268668
CollgCr,1937,1971,4,5,4152,2447,3,1,3,1,6562,73,39,1Fam,WD,417801
NridgHt,1980,2003,6,3,902,133,1,2,4,2,22549,30,7,1Fam,WD,385361
Gilbert,1977,2004,6,5,1630,1012,3,3,5,2,3672,33,6,1Fam,WD,333068
IDOTRR,1944,1959,10,5,2586,1499,1,2,4,1,23963,66,51,1Fam,New,289265
Crawfor,1905,1963,10,5,3128,1634,1,2,3,0,4920,105,47,1Fam,COD,394977
Mitchel,1934,1987,1,7,2727,1771,3,3,3,1,7777,76,23,1Fam,WD,283778
NAmes,2009,2009,8,5,2559,1957,3,2,3,1,2749,1,1,1Fam,WD,338938
Timber,1913,1928,3,7,3910,1230,2,2,3,0,23948,97,82,1Fam,WD,477030
Timber,2010,2010,6,9,3490,2547,3,2,3,0,17571,0,0,2fmCon,WD,578924
Crawfor,1971,1985,3,5,4287,1563,4,2,2,0,4197,39,25,1Fam,WD,438849
ClearCr,1960,1993,2,2,1047,424,2,1,4,0,4253,50,17,1Fam,WD,230931
NAmes,1914,1924,5,5,1649,640,2,2,4,1,16403,96,86,Twnhs,WD,211338
BrkSide,1953,1953,1,8,562,661,3,2,3,0,14126,57,57,1Fam,WD,125687
Somerst,1926,2004,9,4,1343,876,2,2,5,0,22818,84,6,TwnhsE,WD,358360
Timber,1912,2001,7,2,3653,2825,1,2,3,0,24349,98,9,1Fam,WD,527452
Mitchel,1930,1997,3,3,1508,994,3,2,2,1,5384,80,13,1Fam,WD,222367
Veenker,1934,1976,4,9,2342,672,2,2,4,0,8754,76,34,1Fam,WD,348974
Mitchel,1959,1963,6,9,2531,1762,1,2,5,0,1594,51,47,1Fam,WD,335384
ClearCr,1905,2003,3,8,1822,602,2,3,3,0,5791,105,7,1Fam,WD,269767
Gilbert,1968,1980,7,8,2581,2009,2,2,2,1,16491,42,30,1Fam,WD,374744
NoRidge,1985,1994,6,8,1251,705,4,3,4,0,14309,25,16,Duplex,WD,467975
Crawfor,1957,1967,9,8,4180,2167,2,2,2,1,14540,53,43,1Fam,WD,505907
ClearCr,1948,1965,5,8,548,532,2,2,3,0,7280,62,45,1Fam,WD,256632
Crawfor,1922,1962,4,1,1157,1092,4,2,3,0,22967,88,48,1Fam,WD,251871
StoneBr,1988,1997,3,6,2160,1171,3,1,4,0,16841,22,13,1Fam,New,524180
NWAmes,1933,1982,10,9,1200,736,2,3,3,0,9704,77,28,TwnhsE,WD,310271
NAmes,1925,1995,1,8,1580,894,3,1,4,0,3801,85,15,1Fam,WD,205795
Timber,1946,2004,3,3,4432,3567,2,2,3,0,21967,64,6,1Fam,WD,551750
NoRidge,1904,1942,3,1,2656,1722,2,2,3,0,24003,106,68,1Fam,WD,442875
NridgHt,1989,1991,7,2,2040,772,2,2,5,1,7724,21,19,TwnhsE,WD,543619
Gilbert,1919,1994,7,2,3532,1739,2,2,2,0,1872,91,16,1Fam,New,402671
Crawfor,1905,1911,1,7,2571,1040,2,3,3,1,5989,105,99,Twnhs,COD,276806
CollgCr,1969,1994,3,6,2768,1383,2,2,3,1,15701,41,16,1Fam,New,416397
Timber,1958,1990,8,2,2483,835,2,3,4,1,7351,52,20,TwnhsE,WD,467446
Somerst,1963,1999,9,8,814,578,0,2,2,0,7528,47,11,1Fam,New,336985
Crawfor,1917,1964,7,9,2841,2488,1,1,3,1,18700,93,46,1Fam,COD,395208
CollgCr,1903,1981,7,7,3581,1206,2,1,3,0,21496,107,29,1Fam,WD,404881
IDOTRR,1916,1917,8,4,2200,1366,1,2,3,0,12631,94,93,1Fam,WD,204594
NoRidge,1913,1983,6,1,3567,2154,2,1,2,0,24234,97,27,1Fam,WD,591008
Gilbert,1977,2008,3,4,4052,3402,2,2,3,2,2832,33,2,1Fam,WD,452747
ClearCr,1912,1915,1,4,4298,2495,2,1,3,0,16238,98,95,1Fam,WD,429975
ClearCr,1906,1925,7,8,1517,838,2,2,1,2,12938,104,85,1Fam,COD,321118
NWAmes,1943,1978,1,4,1137,608,2,2,3,0,24245,67,32,1Fam,New,216327
Gilbert,1914,1945,1,4,2814,998,3,2,4,2,17531,96,65,1Fam,COD,287420
IDOTRR,1918,1945,9,2,4363,1416,4,1,2,2,16161,92,65,1Fam,WD,338895
NoRidge,1962,1974,10,7,2635,1486,3,1,3,2,2255,48,36,1Fam,WD,614518
NoRidge,2006,2006,7,4,3002,1038,2,2,4,1,5025,4,4,1Fam,WD,603777
NWAmes,2010,2010,4,6,2149,1523,1,1,2,1,3296,0,0,1Fam,WD,309500
Crawfor,2007,2010,6,3,4104,1885,2,2,1,2,15254,3,0,1Fam,WD,495565
Veenker,1934,1989,1,7,3719,2280,3,2,3,0,13661,76,21,1Fam,WD,437590
NridgHt,1980,1982,7,6,3304,1354,2,1,4,0,20943,30,28,Duplex,WD,620890
NoRidge,1934,1963,6,3,4349,3886,2,2,2,1,3677,76,47,1Fam,WD,676636
NAmes,1918,1971,4,4,4300,3427,1,2,4,0,3550,92,39,1Fam,WD,361510
StoneBr,1919,1954,7,5,2978,1047,2,2,3,1,19873,91,56,1Fam,COD,531932
Somerst,1999,2007,3,9,2275,1239,2,2,3,0,16992,11,3,1Fam,WD,400211
Timber,1934,1988,1,6,2466,1851,1,2,3,1,7309,76,22,TwnhsE,WD,360994
Somerst,1931,2010,4,4,3458,1171,3,2,5,0,23497,79,0,2fmCon,ConLD,476036
NridgHt,1947,2004,3,7,2463,1345,2,2,3,0,11763,63,6,1Fam,WD,503683
CollgCr,1943,2007,1,2,2267,1177,2,1,3,0,7476,67,3,TwnhsE,WD,274121
NridgHt,2003,2007,2,4,4315,3619,2,2,3,1,15838,7,3,1Fam,WD,690920
Mitchel,1923,1973,5,5,741,588,2,2,2,0,13675,87,37,1Fam,WD,200860
Timber,1960,1981,8,4,1201,638,2,2,2,1,3193,50,29,Twnhs,WD,345792
CollgCr,1916,2003,1,4,3449,2009,2,2,1,1,19935,94,7,1Fam,New,384265
NAmes,1970,2006,4,9,1240,1075,2,2,3,1,14595,40,4,1Fam,WD,231212
Gilbert,2006,2010,4,2,2613,2260,3,2,2,0,16338,4,0,1Fam,WD,366366
CollgCr,1949,1984,5,6,3519,2981,2,2,4,0,4420,61,26,1Fam,WD,442770
Somerst,1964,1999,7,8,2925,1022,2,2,5,1,22729,46,11,TwnhsE,WD,475668
Somerst,1998,2001,8,8,2935,1222,2,3,2,0,5667,12,9,1Fam,WD,468979
Gilbert,1931,1966,6,7,2314,1684,3,2,3,1,24115,79,44,1Fam,WD,353626
IDOTRR,1935,1986,1,4,1280,822,1,3,1,2,22507,75,24,1Fam,WD,132793
Gilbert,1912,1964,7,7,2756,729,1,0,2,0,10577,98,46,1Fam,WD,328072
CollgCr,1969,1986,3,6,3986,1304,2,2,3,1,24630,41,24,TwnhsE,WD,411883
NWAmes,1957,2006,6,6,515,548,2,1,3,2,7639,53,4,1Fam,WD,222453
CollgCr,1913,1992,8,2,3868,2801,2,1,4,1,2958,97,18,1Fam,WD,455372
NridgHt,1936,1976,7,8,1485,423,2,2,3,1,21679,74,34,1Fam,WD,465082
Crawfor,1978,1995,10,8,3791,3221,2,2,3,1,12847,32,15,1Fam,WD,522393
IDOTRR,2010,2010,6,7,4340,2795,3,2,3,0,4910,0,0,Duplex,WD,332634
StoneBr,1967,1988,9,9,866,734,1,2,1,1,21908,43,22,1Fam,New,498667
Gilbert,1939,2004,9,8,3327,1618,3,2,4,2,24153,71,6,1Fam,WD,468834
Timber,1958,1978,1,9,1752,745,1,2,2,1,2062,52,32,1Fam,ConLD,287106
CollgCr,1979,1982,1,9,4202,2304,2,2,5,0,16877,31,28,TwnhsE,WD,452648
NoRidge,1991,2002,1,6,2987,1409,2,2,2,0,23976,19,8,1Fam,COD,534359
ClearCr,1915,1961,8,2,1189,930,2,2,3,0,8492,95,49,1Fam,WD,287426
NWAmes,1961,1999,10,7,4103,1492,3,2,5,0,13718,49,11,1Fam,WD,462434
Somerst,1903,1931,7,3,4021,3339,0,1,2,1,24892,107,79,1Fam,COD,496842
Gilbert,1944,1997,3,7,1559,620,2,1,3,1,9296,66,13,Duplex,WD,235018
Mitchel,1989,2009,2,9,1346,248,2,2,4,1,7159,21,1,1Fam,New,250271
BrkSide,1927,1943,4,2,921,632,2,2,2,0,23968,83,67,TwnhsE,WD,153495
Timber,1995,2010,3,6,4489,2712,0,2,3,1,20855,15,0,1Fam,WD,588381
Somerst,2008,2010,7,6,2143,1132,3,1,2,0,18228,2,0,1Fam,WD,404649
StoneBr,1965,1973,10,9,1712,1432,3,2,3,0,24495,45,37,TwnhsE,WD,535305
IDOTRR,1930,2007,8,9,3749,1982,3,2,2,1,24168,80,3,1Fam,WD,325749
BrkSide,1902,1950,6,5,1107,613,1,3,4,0,4216,108,60,1Fam,ConLD,181175
CollgCr,1907,2007,3,5,1838,1155,2,2,2,0,11364,103,3,1Fam,WD,245905
NAmes,1923,1924,6,9,519,121,0,1,2,0,7160,87,86,TwnhsE,WD,171010
CollgCr,1914,1961,2,8,1175,731,3,2,3,1,8732,96,49,1Fam,WD,241076
Crawfor,1942,1955,7,7,881,757,2,1,3,1,12819,68,55,1Fam,WD,258144
NoRidge,1930,1988,10,8,1108,290,2,2,3,0,22777,80,22,1Fam,WD,456121
NWAmes,1972,2004,7,6,2690,1274,2,1,2,0,19003,38,6,1Fam,WD,333365
NoRidge,2002,2004,4,3,561,706,1,2,4,1,11604,8,6,1Fam,WD,345775
Mitchel,1944,2001,8,7,1765,1234,2,2,3,1,3762,66,9,1Fam,WD,287001
Mitchel,1965,2003,4,8,2785,1559,2,2,3,1,18626,45,7,TwnhsE,New,366594
NWAmes,1907,1964,7,8,1654,1275,4,2,2,1,22885,103,46,1Fam,WD,305426
NridgHt,1970,1989,4,1,2128,1093,3,1,3,1,12144,40,21,1Fam,WD,479556
Veenker,2007,2008,5,7,2126,497,2,2,4,1,23187,3,2,TwnhsE,WD,425732
Timber,2002,2004,7,3,4216,3207,3,2,3,1,17141,8,6,1Fam,WD,644188
Somerst,2005,2005,10,2,1646,1175,2,2,1,1,12460,5,5,1Fam,WD,410541
NoRidge,1956,1974,3,2,1963,924,3,2,3,2,8830,54,36,1Fam,WD,421110
BrkSide,1979,2005,10,8,1426,789,2,2,3,0,16948,31,5,2fmCon,WD,265222
CollgCr,1998,2002,5,9,2889,2065,2,2,5,2,2282,12,8,1Fam,COD,424088
Veenker,1929,2010,3,3,1942,1373,2,2,1,1,1596,81,0,1Fam,WD,321957
Somerst,1973,1988,5,3,2153,963,0,2,3,1,10278,37,22,1Fam,WD,346853
ClearCr,2001,2004,3,6,3002,835,2,2,2,0,24545,9,6,Duplex,WD,380191
Crawfor,1917,1928,10,1,3769,2069,0,3,3,1,14874,93,82,1Fam,WD,447498
CollgCr,1968,1996,7,6,781,568,4,1,3,1,14328,42,14,2fmCon,New,314002
BrkSide,1992,1998,1,3,1385,1219,1,2,4,0,22795,18,12,1Fam,WD,187539
CollgCr,1938,1951,9,4,1524,1236,2,2,2,1,20122,72,59,1Fam,WD,326525
IDOTRR,1959,1970,9,9,1222,1081,3,1,4,1,17813,51,40,1Fam,WD,217913
NAmes,1997,1999,5,3,2298,1510,2,1,3,0,21233,13,11,1Fam,WD,308995
Timber,1942,1946,9,1,3903,2211,2,2,4,0,12278,68,64,1Fam,WD,560855
BrkSide,1944,1975,10,3,1735,1468,2,1,3,1,13872,66,35,1Fam,WD,267504
NoRidge,1922,1995,6,7,586,246,1,1,2,1,15146,88,15,1Fam,WD,305542
Mitchel,1968,2010,5,7,1164,622,3,3,5,0,3988,42,0,1Fam,WD,228997
Somerst,1993,2009,3,5,1361,738,2,2,2,0,21677,17,1,1Fam,WD,307831
NAmes,1905,1973,8,1,2222,1759,2,1,3,0,9317,105,37,1Fam,New,295513
NAmes,1955,1999,4,8,2608,1013,2,2,4,0,20721,55,11,Duplex,WD,285635
Mitchel,2009,2010,10,8,3344,1640,2,2,2,0,17883,1,0,TwnhsE,WD,402189
Mitchel,2007,2007,3,2,2642,1727,3,2,3,1,20270,3,3,1Fam,COD,297740
Veenker,1903,1951,6,3,1285,469,3,2,4,1,8896,107,59,1Fam,WD,317597
NoRidge,1992,1992,8,4,2076,1063,2,2,5,1,19725,18,18,1Fam,WD,549040
ClearCr,1922,1939,9,1,3718,2719,2,1,4,0,23250,88,71,1Fam,WD,497774
StoneBr,1905,1913,6,4,3817,1803,2,2,3,1,9564,105,97,1Fam,WD,572223
Gilbert,1931,1992,5,5,2167,838,2,1,3,0,6269,79,18,1Fam,New,293844
Somerst,2005,2005,2,3,3508,1643,2,1,3,1,15486,5,5,2fmCon,WD,436273
IDOTRR,1917,1945,2,2,2844,1835,3,2,3,1,10421,93,65,1Fam,WD,191917
Gilbert,1914,1991,9,6,3694,2929,2,1,4,1,1816,96,19,1Fam,WD,464637
Mitchel,1939,1963,2,8,4226,3311,1,2,2,0,1575,71,47,TwnhsE,WD,365496
NoRidge,1995,2009,2,7,1193,952,2,2,2,1,22953,15,1,1Fam,WD,394466
NAmes,1972,1977,3,1,4275,1534,1,2,3,1,12738,38,33,1Fam,WD,354389
BrkSide,2000,2007,3,4,4027,1225,2,1,5,1,1703,10,3,1Fam,WD,304097
CollgCr,1973,2001,4,3,2946,1966,2,2,3,1,9395,37,9,Twnhs,Oth,376937
Crawfor,1983,1997,7,6,4290,2191,2,3,5,1,8067,27,13,1Fam,ConLD,509742
NWAmes,1905,1997,9,9,3493,2816,2,2,4,0,15546,105,13,1Fam,New,476262
StoneBr,1962,1965,2,9,1754,1248,3,2,4,1,13980,48,45,2fmCon,WD,397161
CollgCr,1966,1983,4,7,1033,904,1,1,4,0,8960,44,27,1Fam,WD,249003
Somerst,2005,2006,9,9,901,214,3,0,4,0,21659,5,4,Duplex,WD,377537
StoneBr,1910,1966,2,8,4163,2324,2,2,4,0,24808,100,44,1Fam,WD,591359
Somerst,1942,1990,10,5,629,259,3,1,3,2,23442,68,20,Twnhs,WD,352019
NridgHt,1916,1959,1,9,2839,951,2,2,1,0,5855,94,51,2fmCon,WD,410267
NridgHt,1995,2001,10,7,775,642,1,2,2,1,20935,15,9,1Fam,WD,493909
NoRidge,1903,1982,8,5,3459,1776,3,2,2,2,4163,107,28,1Fam,COD,605210
IDOTRR,1962,1972,9,8,2358,1466,2,2,1,2,10123,48,38,TwnhsE,WD,239003
CollgCr,1967,1980,7,7,3947,2103,0,2,2,1,21046,43,30,1Fam,WD,469154
IDOTRR,1980,1982,8,9,3473,1157,1,2,4,1,9889,30,28,1Fam,WD,287406
ClearCr,1940,2001,4,1,554,417,2,3,3,0,22962,70,9,2fmCon,New,256042
Veenker,1982,1991,4,9,4149,1917,2,3,3,0,1538,28,19,1Fam,COD,513557
CollgCr,1904,1967,2,7,3286,1266,2,3,4,1,16544,106,43,1Fam,WD,356774
ClearCr,1931,1975,8,1,3597,1694,2,2,3,1,11818,79,35,1Fam,WD,454766
NoRidge,1985,1994,2,1,4012,1863,2,2,2,0,10420,25,16,1Fam,WD,597617
Gilbert,1969,1986,9,5,1264,555,3,2,4,1,21049,41,24,1Fam,WD,333302
Timber,1934,1991,4,8,1720,501,2,1,3,1,22663,76,19,1Fam,WD,352597
Crawfor,1921,1940,1,9,1141,732,2,2,3,1,7686,89,70,2fmCon,WD,202062
Gilbert,1964,1988,4,6,3814,2629,3,0,3,1,13919,46,22,1Fam,WD,439076
StoneBr,1983,2007,3,8,2347,1399,0,1,3,1,20008,27,3,1Fam,WD,467948
NridgHt,1921,1997,6,6,1223,691,2,2,4,0,15757,89,13,Duplex,WD,425764
Mitchel,1910,1977,7,6,1713,749,2,1,2,1,5634,100,33,1Fam,WD,265615
ClearCr,1976,1989,8,4,1301,941,2,3,5,2,24178,34,21,1Fam,WD,368164
NridgHt,2005,2005,2,5,1237,830,0,2,2,0,5271,5,5,Duplex,WD,354857
IDOTRR,1902,1993,6,2,1257,621,1,1,3,0,16811,108,17,1Fam,WD,170424
NridgHt,1908,1959,6,3,2091,1651,2,1,4,1,7038,102,51,1Fam,WD,472224
Gilbert,1959,1995,10,3,3114,1510,4,2,5,0,17681,51,15,1Fam,WD,456726
IDOTRR,1975,1982,5,5,1799,843,2,2,3,0,4757,35,28,1Fam,COD,183963
Timber,1986,1997,10,5,2341,1565,2,3,2,0,7961,24,13,Duplex,WD,507962
StoneBr,1913,2010,10,6,3980,1819,2,3,4,0,15275,97,0,1Fam,Oth,699698
NoRidge,1996,2007,7,5,839,706,2,3,2,0,15243,14,3,1Fam,WD,422738
Veenker,1917,1921,3,6,652,388,0,2,3,1,12898,93,89,TwnhsE,WD,215205
NoRidge,2004,2009,4,8,2088,1156,2,1,4,1,17544,6,1,1Fam,WD,487997
Gilbert,1972,1976,10,2,1921,732,2,2,3,0,23272,38,34,1Fam,WD,360209
NridgHt,1922,1952,9,4,1967,1509,1,2,2,0,16272,88,58,1Fam,WD,500233
CollgCr,1973,1981,4,6,4194,3139,1,2,3,0,9400,37,29,1Fam,WD,474294
IDOTRR,1982,1991,3,5,3551,2729,2,2,4,2,12290,28,19,1Fam,WD,306265
Mitchel,1946,1977,2,1,926,447,3,2,3,0,13005,64,33,1Fam,WD,184848
Crawfor,1968,2000,5,9,3550,2955,3,2,4,2,19128,42,10,1Fam,WD,482408
Veenker,1946,1975,4,3,4058,2792,2,2,3,0,13779,64,35,1Fam,COD,498786
Crawfor,1986,2003,8,2,2751,1510,1,2,2,1,2157,24,7,1Fam,WD,374663
CollgCr,1929,2004,7,9,1635,1459,2,3,3,0,12657,81,6,Twnhs,COD,345281
ClearCr,1924,1952,6,7,2872,2052,1,1,3,0,19583,86,58,1Fam,WD,393677
NoRidge,1927,1929,2,5,3829,2599,2,3,3,0,22340,83,81,1Fam,WD,573012
NAmes,1997,2006,3,6,1449,503,3,2,3,1,23952,13,4,1Fam,ConLD,234973
ClearCr,2008,2008,10,4,4099,2300,2,2,3,0,16025,2,2,1Fam,WD,589573
StoneBr,2010,2010,9,1,3498,2613,4,2,4,0,14116,0,0,1Fam,WD,699405
Somerst,1924,1953,9,4,1873,915,2,2,2,1,7463,86,57,Twnhs,WD,367968
ClearCr,1973,1981,5,9,2530,1890,2,1,4,0,15497,37,29,2fmCon,WD,395844
Mitchel,1977,2002,3,1,3486,2091,2,1,3,0,24119,33,8,1Fam,WD,356031
NWAmes,2005,2006,2,3,1456,1132,3,2,1,1,6035,5,4,1Fam,WD,247412
NWAmes,2009,2010,8,5,2201,1049,1,2,2,1,16080,1,0,1Fam,ConLD,345774
NridgHt,1957,1959,6,7,4384,2614,3,1,3,1,17164,53,51,1Fam,WD,731773
ClearCr,1993,2006,10,9,3441,1483,2,2,3,0,13318,17,4,1Fam,WD,513960
CollgCr,1940,2007,7,6,2982,1859,1,2,2,0,3476,70,3,1Fam,WD,396385
NridgHt,1924,1948,1,3,3997,2847,3,1,2,0,5169,86,62,1Fam,COD,555121
